SWV ITM Data Console - ITM Port: 0
568,0.0097,0.000
568,0.0097,0.000
569,0.0113,-0.004
570,0.0097,-0.004
570,0.0113,-0.008
571,0.0113,-0.006
572,0.0097,-0.006
573,0.0097,-0.006
573,0.0113,-0.004
574,0.0097,-0.004
575,0.0097,0.000
575,0.0097,0.002
576,0.0097,0.002
577,0.0113,-0.008
578,0.0097,-0.002
578,0.0097,-0.002
579,0.0097,0.002
580,0.0097,0.002
580,0.0097,-0.010
581,0.0097,-0.006
582,0.0097,-0.006
582,0.0097,-0.010
583,0.0113,-0.008
584,0.0113,-0.008
585,0.0097,-0.006
585,0.0097,0.000
586,0.0097,0.000
587,0.0113,-0.010
587,0.0097,-0.010
588,0.0113,-0.002
589,0.0097,0.000
590,0.0097,0.000
590,0.0113,-0.004
591,0.0097,-0.002
592,0.0097,-0.002
592,0.0097,-0.008
593,0.0097,-0.008
594,0.0097,-0.008
594,0.0097,-0.006
595,0.0097,-0.006
596,0.0097,-0.002
597,0.0097,-0.002
597,0.0113,-0.002
598,0.0113,-0.008
599,0.0097,-0.008
599,0.0113,-0.008
600,0.0097,-0.010
601,0.0113,-0.006
602,0.0097,-0.006
602,0.0097,-0.008
603,0.0097,-0.002
604,0.0097,-0.002
604,0.0097,-0.010
605,0.0097,-0.004
606,0.0097,-0.004
607,0.0097,-0.008
607,0.0097,-0.008
608,0.0097,-0.008
609,0.0097,-0.008
609,0.0097,-0.008
610,0.0097,-0.002
611,0.0097,-0.010
612,0.0097,-0.010
612,0.0097,-0.008
613,0.0097,-0.004
614,0.0113,-0.004
614,0.0113,-0.010
615,0.0097,-0.004
616,0.0097,-0.004
617,0.0097,0.000
617,0.0113,0.000
618,0.0097,-0.008
619,0.0097,0.004
619,0.0097,0.004
620,0.0097,-0.008
621,0.0097,-0.006
621,0.0097,-0.006
622,0.0113,-0.010
623,0.0097,-0.010
624,0.0113,-0.010
624,0.0113,-0.008
625,0.0113,-0.006
626,0.0097,-0.006
626,0.0097,-0.008
627,0.0097,-0.008
628,0.0097,-0.004
629,0.0097,-0.008
629,0.0097,-0.008
630,0.0097,-0.006
631,0.0097,0.000
631,0.0113,0.000
632,0.0113,-0.010
633,0.0113,-0.006
633,0.0097,-0.006
634,0.0113,-0.008
635,0.0097,-0.008
636,0.0113,-0.006
636,0.0097,-0.008
637,0.0097,-0.008
638,0.0113,-0.006
638,0.0097,-0.006
639,0.0113,-0.006
640,0.0097,-0.006
641,0.0097,-0.006
641,0.0097,-0.006
642,0.0113,-0.008
643,0.0097,-0.006
643,0.0113,-0.006
644,0.0097,-0.002
645,0.0097,-0.006
646,0.0113,-0.006
646,0.0097,-0.008
647,0.0097,-0.008
648,0.0113,-0.008
648,0.0097,-0.010
649,0.0113,-0.010
650,0.0097,-0.002
651,0.0113,-0.010
651,0.0097,-0.010
652,0.0113,-0.008
653,0.0097,-0.004
653,0.0097,-0.004
654,0.0097,-0.002
655,0.0097,0.000
655,0.0113,0.000
656,0.0113,-0.012
657,0.0113,-0.012
658,0.0097,-0.004
658,0.0113,-0.006
659,0.0097,-0.006
660,0.0097,-0.002
660,0.0097,-0.006
661,0.0097,-0.006
662,0.0097,-0.010
663,0.0113,-0.006
663,0.0097,-0.006
664,0.0113,-0.004
665,0.0113,-0.006
665,0.0113,-0.006
666,0.0113,-0.012
667,0.0097,-0.012
668,0.0097,-0.010
668,0.0097,-0.004
669,0.0097,-0.004
670,0.0113,0.000
670,0.0113,-0.010
671,0.0097,-0.010
672,0.0097,-0.006
673,0.0097,-0.002
673,0.0097,-0.002
674,0.0113,-0.006
675,0.0097,-0.004
675,0.0113,-0.004
676,0.0097,-0.010
677,0.0113,-0.010
678,0.0097,-0.004
678,0.0113,-0.002
679,0.0097,-0.002
680,0.0097,-0.012
680,0.0097,-0.006
681,0.0113,-0.006
682,0.0113,-0.012
682,0.0097,-0.002
683,0.0097,-0.002
684,0.0097,-0.002
685,0.0113,-0.004
685,0.0097,-0.004
686,0.0113,0.000
687,0.0113,0.000
687,0.0097,-0.008
688,0.0097,-0.012
689,0.0097,-0.012
690,0.0097,-0.008
690,0.0097,-0.006
691,0.0097,-0.006
692,0.0097,-0.006
692,0.0097,-0.008
693,0.0097,-0.008
694,0.0113,-0.010
695,0.0097,-0.008
695,0.0097,-0.008
696,0.0113,-0.004
697,0.0097,0.000
697,0.0097,0.000
698,0.0097,-0.008
699,0.0097,-0.008
699,0.0097,-0.008
700,0.0097,-0.006
701,0.0113,-0.006
702,0.0097,-0.010
702,0.0097,-0.006
703,0.0097,-0.006
704,0.0097,-0.006
704,0.0097,-0.010
705,0.0113,-0.010
706,0.0097,-0.006
707,0.0097,-0.006
707,0.0113,-0.006
708,0.0097,-0.004
709,0.0113,-0.004
709,0.0097,-0.008
710,0.0097,-0.006
711,0.0113,-0.006
712,0.0097,-0.008
712,0.0097,-0.006
713,0.0097,-0.006
714,0.0097,-0.006
714,0.0113,-0.004
715,0.0113,-0.004
716,0.0113,0.000
717,0.0113,0.000
717,0.0097,-0.010
718,0.0097,-0.006
719,0.0097,-0.006
719,0.0097,-0.002
720,0.0097,-0.006
721,0.0113,-0.006
721,0.0113,-0.006
722,0.0113,-0.008
723,0.0097,-0.008
724,0.0113,-0.002
724,0.0097,-0.006
725,0.0113,-0.006
726,0.0097,-0.006
726,0.0097,-0.006
727,0.0113,-0.002
728,0.0097,-0.006
729,0.0113,-0.006
729,0.0113,-0.002
730,0.0097,-0.004
731,0.0097,-0.004
731,0.0113,-0.006
732,0.0113,-0.008
733,0.0113,-0.008
734,0.0113,-0.006
734,0.0097,-0.010
735,0.0097,-0.010
736,0.0097,-0.008
736,0.0097,-0.004
737,0.0097,-0.004
738,0.0097,-0.008
739,0.0097,-0.008
739,0.0097,0.002
740,0.0097,-0.008
741,0.0097,-0.008
741,0.0097,-0.006
742,0.0097,-0.010
743,0.0097,-0.010
744,0.0113,-0.010
744,0.0097,-0.014
745,0.0097,-0.014
746,0.0097,-0.006
746,0.0097,-0.002
747,0.0097,-0.002
748,0.0113,-0.002
748,0.0097,-0.002
749,0.0097,-0.004
750,0.0097,-0.008
751,0.0097,-0.008
751,0.0097,-0.008
752,0.0113,-0.006
753,0.0097,-0.006
753,0.0113,-0.006
754,0.0097,-0.006
755,0.0113,-0.006
756,0.0113,-0.006
756,0.0113,-0.002
757,0.0113,-0.002
758,0.0113,-0.010
758,0.0113,-0.008
759,0.0097,-0.008
760,0.0097,-0.006
761,0.0113,-0.006
761,0.0097,-0.002
762,0.0097,-0.010
763,0.0097,-0.010
763,0.0097,-0.006
764,0.0097,-0.006
765,0.0097,-0.006
766,0.0097,-0.006
766,0.0113,-0.006
767,0.0097,-0.006
768,0.0097,-0.006
768,0.0097,-0.008
769,0.0097,-0.008
770,0.0097,-0.006
771,0.0113,-0.006
771,0.0113,-0.010
772,0.0097,-0.012
773,0.0097,-0.012
773,0.0097,-0.004
774,0.0097,-0.012
775,0.0097,-0.012
776,0.0097,-0.012
776,0.0097,-0.006
777,0.0097,-0.006
778,0.0097,-0.010
778,0.0097,-0.006
779,0.0097,-0.006
780,0.0097,-0.004
781,0.0113,-0.010
781,0.0113,-0.010
782,0.0097,-0.004
783,0.0097,-0.004
783,0.0097,-0.006
784,0.0113,0.000
785,0.0113,0.000
785,0.0097,-0.002
786,0.0113,-0.002
787,0.0097,-0.002
788,0.0097,0.000
788,0.0097,-0.004
789,0.0097,-0.004
790,0.0097,0.000
790,0.0097,0.000
791,0.0097,-0.016
792,0.0097,-0.008
792,0.0113,-0.008
793,0.0097,-0.010
794,0.0097,-0.004
795,0.0113,-0.004
795,0.0113,-0.006
796,0.0097,-0.006
797,0.0097,-0.006
797,0.0113,-0.002
798,0.0097,-0.006
799,0.0097,-0.006
800,0.0097,-0.008
800,0.0113,-0.008
801,0.0097,-0.010
802,0.0097,-0.008
802,0.0097,-0.008
803,0.0113,-0.008
804,0.0097,-0.002
805,0.0113,-0.002
805,0.0097,-0.006
806,0.0097,-0.008
807,0.0113,-0.008
807,0.0113,-0.002
808,0.0097,-0.010
809,0.0113,-0.010
810,0.0097,-0.004
810,0.0097,-0.004
811,0.0097,-0.004
812,0.0097,-0.008
812,0.0097,-0.008
813,0.0097,-0.008
814,0.0097,-0.006
815,0.0113,-0.006
815,0.0097,-0.006
816,0.0097,-0.002
817,0.0097,-0.002
817,0.0097,-0.010
818,0.0113,-0.008
819,0.0097,-0.008
820,0.0097,-0.002
820,0.0097,-0.008
821,0.0113,-0.008
822,0.0097,-0.006
822,0.0097,-0.006
823,0.0113,-0.004
824,0.0097,-0.004
824,0.0097,-0.004
825,0.0113,-0.002
826,0.0097,-0.006
827,0.0097,-0.006
